"('20190701', '20190731')",4453
"('20190801', '20190831')",4277
"('20190901', '20190930')",4800
"('20191001', '20191031')",5235
"('20191101', '20191130')",4717
"('20191201', '20191231')",4202
"('20200101', '20200131')",4676
"('20200201', '20200229')",4406
"('20200301', '20200331')",5273
"('20200401', '20200430')",5279
"('20200501', '20200531')",4572
"('20200601', '20200630')",4736
"('20200701', '20200731')",4650
"('20200801', '20200831')",4637
"('20200901', '20200930')",4833
"('20201001', '20201031')",5354
"('20201101', '20201130')",5358
"('20201201', '20201231')",4431
"('20210101', '20210131')",7802
"('20210201', '20210228')",4354
"('20210301', '20210331')",4873
"('20210401', '20210430')",4714
"('20210501', '20210531')",4454
"('20210601', '20210630')",4465
"('20210701', '20210731')",4521
"('20210801', '20210831')",4308
"('20210901', '20210930')",4538
"('20211001', '20211031')",4558
"('20211101', '20211130')",4495
"('20211201', '20211231')",4255
"('20220101', '20220131')",4027
"('20220201', '20220228')",4283
"('20220301', '20220331')",4584
"('20220401', '20220430')",4178
"('20220501', '20220531')",4592
"('20220601', '20220630')",4592
"('20220701', '20220731')",4018
"('20220801', '20220831')",4182
"('20220901', '20220930')",4394
"('20221001', '20221031')",4153
"('20221101', '20221130')",5051
"('20221201', '20221231')",3777
"('20230101', '20230131')",3668
"('20230201', '20230228')",3443
"('20230301', '20230331')",7443
"('20230401', '20230430')",3902
"('20230501', '20230531')",4120
"('20230601', '20230630')",4033
"('20230701', '20230731')",3791
"('20230801', '20230831')",3901
"('20230901', '20230930')",4043
"('20231001', '20231031')",4170
"('20231101', '20231130')",4135
"('20231201', '20231231')",3727
"('20240101', '20240131')",4072
